ID,method,fanIN,fanOUT,localVar,parametersCount,commentToCodeRatio,countPath,complexity,execStmt,maxNesting,readability,cos,Purpose,Notice,UnderDev,StyleAndIde,Metadata,Discarded,featureEnvy,longParam,messageChains,longMethod,methodHistories,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,churn,maxChurn,avgChurn,decl,cond,elseAdded,elseDeleted,developers,ownership,entropy,buggy,APC exp coeff,APX exp base,APC poly coeff,APC poly power
6,com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck:isStaticFieldHiddenFromAnonymousClass,1,2,0,2,1.25,0,4,4,0,0.9497146606445312,0.6388888888888888,0,0,0,0,0,0,0,0,0,0,1,1,8.0,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.125,0.0,true,0,0,3.0,0
6,com.puppycrawl.tools.checkstyle.checks.indentation.NewHandlerTest:getPath,1285,0,0,1,0.0,0,3,3,0,0.5756898522377014,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,true,0,0,1.0,0
6,com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheckTest:testReturnFromFinally,0,4,0,0,0.0,0,3,9,0,2.872213954105973E-4,0.0,0,0,0,0,0,0,0,0,0,0,4,1,17.0,9.0,4.25,0.0,0.0,0.0,17.0,9.0,4.25,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,true,0,0,1.0,0
6,com.puppycrawl.tools.checkstyle.grammars.java8.InputMethodReferences3:methodName,0,0,0,1,0.0,0,1,2,0,0.7592527270317078,0.0,0,0,0,0,0,0,0,0,0,0,1,1,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,true,0,0,1.0,0
6,com.puppycrawl.tools.checkstyle.checks.regexp.RegexpCheckTest:testIgnoreCommentsMultiLine,0,4,0,0,0.0,0,4,9,0,0.00496671162545681,0.0,0,0,0,0,0,0,0,0,0,0,1,1,11.0,11.0,11.0,0.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0,true,0,0,1.0,0
6,com.puppycrawl.tools.checkstyle.checks.FinalParametersCheck:checkParam,3,9,0,1,0.375,1,3,8,1,0.009796678088605404,0.34836650714580886,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true,0,0,4.0,0
6,com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck:isBlockStart,1,1,0,1,1.0,0,3,4,0,0.35107994079589844,0.16630614998521273,0,0,0,0,0,0,0,0,1,0,2,1,6.0,6.0,3.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.0,true,0,0,5.0,0
6,com.google.checkstyle.test.chapter4formatting.rule4841indentation.IndentationTest:correctTest,0,4,0,0,0.0,0,3,7,0,0.2188967913389206,0.0,0,0,0,0,0,0,0,0,0,0,4,2,38.0,15.0,9.5,0.0,0.0,0.0,38.0,15.0,9.5,0.0,0.0,0.0,0.0,0.75,0.05263157894736842,0.0,true,0,0,1.0,0
6,com.puppycrawl.tools.checkstyle.checks.imports.ImportControlLoader:endElement,1,2,0,3,0.0,1,2,5,1,0.09846941381692886,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true,0,0,2.0,0
6,com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheckTest:testCompactNoUncheckedUnused,0,5,0,0,0.2857142857142857,0,4,7,0,0.0,0.3164240097573177,0,0,0,0,0,0,0,0,0,0,3,1,40.0,24.0,13.333333333333334,0.0,0.0,0.0,40.0,24.0,13.333333333333334,0.0,0.0,0.0,0.0,1.0,0.025,0.0,true,0,0,1.0,0
